method,serie,F1,precision,recall
RTAD,1,0.888888888888889,0.857142857142857,0.923076923076923
RTAD,2,0.275862068965517,0.16,1
RTAD,3,0.933333333333333,0.875,1
RTAD,4,1,1,1
RTAD,5,1,1,1
RTAD,6,0.928571428571429,0.928571428571429,0.928571428571429
RTAD,7,0.956521739130435,0.916666666666667,1
RTAD,8,0.5,0.333333333333333,1
RTAD,9,0.9,0.9,0.9
RTAD,10,0.916666666666667,0.916666666666667,0.916666666666667
RTAD,11,1,1,1
RTAD,12,1,1,1
RTAD,13,0.72,0.642857142857143,0.818181818181818
RTAD,14,0.666666666666667,0.5,1
RTAD,15,0.838709677419355,0.8125,0.866666666666667
RTAD,16,0.645161290322581,0.526315789473684,0.833333333333333
RTAD,17,1,1,1
RTAD,18,1,1,1
RTAD,19,0.814814814814815,0.6875,1
RTAD,20,0.307692307692308,0.181818181818182,1
RTAD,21,0.857142857142857,0.75,1
RTAD,22,0.842105263157895,0.8,0.888888888888889
RTAD,23,0.9375,0.9375,0.9375
RTAD,24,1,1,1
RTAD,25,1,1,1
RTAD,26,1,1,1
RTAD,27,0.9375,0.9375,0.9375
RTAD,28,1,1,1
RTAD,29,0.782608695652174,0.642857142857143,1
RTAD,30,0.2,0.111111111111111,1
RTAD,31,1,1,1
RTAD,32,0.947368421052632,0.9,1
RTAD,33,1,1,1
RTAD,34,1,1,1
RTAD,35,0.117647058823529,0.0625,1
RTAD,36,0.4,0.25,1
RTAD,37,0.153846153846154,0.0833333333333333,1
RTAD,38,0.628571428571429,0.578947368421053,0.6875
RTAD,39,0.521739130434783,0.4,0.75
RTAD,40,0.2,0.111111111111111,1
RTAD,41,0.75,0.75,0.75
RTAD,42,0.666666666666667,0.5,1
RTAD,43,0.8125,0.722222222222222,0.928571428571429
RTAD,44,1,1,1
RTAD,45,1,1,1
RTAD,46,0.2,0.111111111111111,1
RTAD,47,0.307692307692308,0.181818181818182,1
RTAD,48,1,1,1
RTAD,49,0.909090909090909,0.833333333333333,1
RTAD,50,1,1,1
RTAD,51,0.8,0.666666666666667,1
RTAD,52,0.740740740740741,0.714285714285714,0.769230769230769
RTAD,53,0.88,0.785714285714286,1
RTAD,54,0.8,0.705882352941177,0.923076923076923
RTAD,55,1,1,1
RTAD,56,0.222222222222222,0.133333333333333,0.666666666666667
RTAD,57,0.96,1,0.923076923076923
RTAD,58,0.888888888888889,0.8,1
RTAD,59,1,1,1
RTAD,60,0.857142857142857,0.75,1
RTAD,61,0.857142857142857,0.75,1
RTAD,62,0.787878787878788,0.764705882352941,0.8125
RTAD,63,0.933333333333333,0.933333333333333,0.933333333333333
RTAD,64,1,1,1
RTAD,65,0.947368421052632,0.9,1
RTAD,66,0.0625,0.032258064516129,1
RTAD,67,1,1,1
RTAD,68,0.64,0.615384615384615,0.666666666666667
RTAD,69,0.631578947368421,0.461538461538462,1
RTAD,70,0.909090909090909,0.833333333333333,1
RTAD,71,0.8,0.666666666666667,1
RTAD,72,0.8125,0.8125,0.8125
RTAD,73,0.903225806451613,0.875,0.933333333333333
RTAD,74,0.733333333333333,0.785714285714286,0.6875
