method,serie,F1,precision,recall
RTAD,1,0.88,0.785714285714286,1
RTAD,2,0.9,0.9,0.9
RTAD,3,1,1,1
RTAD,4,0.933333333333333,0.875,1
RTAD,5,1,1,1
RTAD,6,1,1,1
RTAD,7,1,1,1
RTAD,8,0.705882352941176,0.545454545454545,1
RTAD,9,0.518518518518518,0.388888888888889,0.777777777777778
RTAD,10,0.666666666666667,0.5,1
RTAD,11,0.833333333333333,0.833333333333333,0.833333333333333
RTAD,12,0.952380952380952,0.909090909090909,1
RTAD,13,1,1,1
RTAD,14,0.916666666666667,0.916666666666667,0.916666666666667
RTAD,15,1,1,1
RTAD,16,1,1,1
RTAD,17,0.774193548387097,0.75,0.8
RTAD,18,0.875,0.875,0.875
RTAD,19,1,1,1
RTAD,20,1,1,1
RTAD,21,1,1,1
RTAD,22,0.8,0.666666666666667,1
RTAD,23,0.470588235294118,0.307692307692308,1
RTAD,24,1,1,1
RTAD,25,1,1,1
RTAD,26,1,1,1
RTAD,27,0.733333333333333,0.6875,0.785714285714286
RTAD,28,0.8,0.666666666666667,1
RTAD,29,0.0689655172413793,0.0357142857142857,1
RTAD,30,0.666666666666667,0.5,1
RTAD,31,1,1,1
RTAD,32,0.952380952380952,0.909090909090909,1
RTAD,33,1,1,1
RTAD,34,0.923076923076923,0.857142857142857,1
RTAD,35,1,1,1
RTAD,36,0.727272727272727,0.666666666666667,0.8
RTAD,37,0.928571428571429,0.928571428571429,0.928571428571429
RTAD,38,0.875,0.875,0.875
RTAD,39,0.733333333333333,0.733333333333333,0.733333333333333
RTAD,40,0.838709677419355,0.866666666666667,0.8125
RTAD,41,0.333333333333333,0.2,1
RTAD,42,0.545454545454545,0.375,1
RTAD,43,0.866666666666667,0.866666666666667,0.866666666666667
RTAD,44,0.888888888888889,0.857142857142857,0.923076923076923
RTAD,45,0.685714285714286,0.631578947368421,0.75
RTAD,46,1,1,1
RTAD,47,0.823529411764706,0.7,1
RTAD,48,1,1,1
RTAD,49,1,1,1
RTAD,50,1,1,1
RTAD,51,0.9375,0.9375,0.9375
RTAD,52,1,1,1
RTAD,53,0.111111111111111,0.0588235294117647,1
RTAD,54,0.947368421052632,0.9,1
RTAD,55,0.6,0.428571428571429,1
RTAD,56,0.846153846153846,0.733333333333333,1
RTAD,57,1,1,1
RTAD,58,1,1,1
RTAD,59,0.962962962962963,0.928571428571429,1
RTAD,60,1,1,1
RTAD,61,1,1,1
RTAD,62,1,1,1
RTAD,63,1,1,1
RTAD,64,0.666666666666667,0.5,1
RTAD,65,1,1,1
RTAD,66,0.9375,0.9375,0.9375
RTAD,67,0.777777777777778,0.636363636363636,1
RTAD,68,0.909090909090909,0.833333333333333,1
RTAD,69,0.818181818181818,0.692307692307692,1
RTAD,70,0.875,0.875,0.875
RTAD,71,0.5,0.35,0.875
RTAD,72,0.838709677419355,0.8125,0.866666666666667
RTAD,73,1,1,1
RTAD,74,0.857142857142857,0.857142857142857,0.857142857142857
RTAD,75,1,1,1
RTAD,76,1,1,1
RTAD,77,0.866666666666667,0.866666666666667,0.866666666666667
RTAD,78,1,1,1
RTAD,79,1,1,1
RTAD,80,0.923076923076923,0.923076923076923,0.923076923076923
RTAD,81,0.96,0.923076923076923,1
RTAD,82,0.344827586206897,0.227272727272727,0.714285714285714
RTAD,83,1,1,1
RTAD,84,0.416666666666667,0.263157894736842,1
RTAD,85,1,1,1
RTAD,86,1,1,1
RTAD,87,0.666666666666667,0.545454545454545,0.857142857142857
RTAD,88,0.551724137931034,0.470588235294118,0.666666666666667
RTAD,89,0.888888888888889,0.923076923076923,0.857142857142857
RTAD,90,1,1,1
RTAD,91,0.9,0.9,0.9
RTAD,92,1,1,1
RTAD,93,0.666666666666667,0.538461538461538,0.875
RTAD,94,1,1,1
RTAD,95,1,1,1
RTAD,96,1,1,1
RTAD,97,0.833333333333333,0.714285714285714,1
RTAD,98,1,1,1
RTAD,99,0.923076923076923,0.923076923076923,0.923076923076923
RTAD,100,0.909090909090909,0.909090909090909,0.909090909090909
