method,serie,F1,precision,recall
GARCH,1,0.769230769230769,0.769230769230769,0.769230769230769
GARCH,2,0.230769230769231,0.136363636363636,0.75
GARCH,3,0.571428571428571,0.571428571428571,0.571428571428571
GARCH,4,1,1,1
GARCH,5,1,1,1
GARCH,6,0.428571428571429,0.428571428571429,0.428571428571429
GARCH,7,0.909090909090909,0.909090909090909,0.909090909090909
GARCH,8,1,1,1
GARCH,9,0.380952380952381,0.363636363636364,0.4
GARCH,10,0.166666666666667,0.166666666666667,0.166666666666667
GARCH,11,0.1,0.1,0.1
GARCH,12,0.888888888888889,0.888888888888889,0.888888888888889
GARCH,13,0.782608695652174,0.75,0.818181818181818
GARCH,14,1,1,1
GARCH,15,0.774193548387097,0.75,0.8
GARCH,16,0.625,0.5,0.833333333333333
GARCH,17,0.333333333333333,0.333333333333333,0.333333333333333
GARCH,18,0.25,0.25,0.25
GARCH,19,0.818181818181818,0.818181818181818,0.818181818181818
GARCH,20,0.347826086956522,0.210526315789474,1
GARCH,21,1,1,1
GARCH,22,0.8,0.727272727272727,0.888888888888889
GARCH,23,0.875,0.875,0.875
GARCH,24,1,1,1
GARCH,25,0.75,0.75,0.75
GARCH,26,0.545454545454545,0.545454545454545,0.545454545454545
GARCH,27,0.258064516129032,0.266666666666667,0.25
GARCH,28,1,1,1
GARCH,29,0.782608695652174,0.642857142857143,1
GARCH,30,0.4,0.25,1
GARCH,31,1,1,1
GARCH,32,0.888888888888889,0.888888888888889,0.888888888888889
GARCH,33,0.666666666666667,0.666666666666667,0.666666666666667
GARCH,34,1,1,1
GARCH,35,0.117647058823529,0.0625,1
GARCH,36,0.8,0.666666666666667,1
GARCH,37,0.173913043478261,0.0952380952380952,1
GARCH,38,0.571428571428571,0.526315789473684,0.625
GARCH,39,0.571428571428571,0.461538461538462,0.75
GARCH,40,0.666666666666667,0.5,1
GARCH,41,0.75,0.75,0.75
GARCH,42,1,1,1
GARCH,43,0.838709677419355,0.764705882352941,0.928571428571429
GARCH,44,0.4,0.4,0.4
GARCH,45,0.6,0.6,0.6
GARCH,46,1,1,1
GARCH,47,0.444444444444444,0.285714285714286,1
GARCH,48,0.928571428571429,0.928571428571429,0.928571428571429
GARCH,49,0.952380952380952,0.909090909090909,1
GARCH,50,1,1,1
GARCH,51,1,1,1
GARCH,52,0.615384615384615,0.615384615384615,0.615384615384615
GARCH,53,0.916666666666667,0.846153846153846,1
GARCH,54,0.827586206896552,0.75,0.923076923076923
GARCH,55,1,1,1
GARCH,56,0.333333333333333,0.222222222222222,0.666666666666667
GARCH,57,0.56,0.583333333333333,0.538461538461538
GARCH,58,0.583333333333333,0.583333333333333,0.583333333333333
GARCH,59,0.214285714285714,0.214285714285714,0.214285714285714
GARCH,60,1,1,1
GARCH,61,0.857142857142857,0.75,1
GARCH,62,0.848484848484849,0.823529411764706,0.875
GARCH,63,0.933333333333333,0.933333333333333,0.933333333333333
GARCH,64,0.923076923076923,0.923076923076923,0.923076923076923
GARCH,65,0.888888888888889,0.888888888888889,0.888888888888889
GARCH,66,0.0666666666666667,0.0344827586206897,1
GARCH,67,0.416666666666667,0.416666666666667,0.416666666666667
GARCH,68,0.64,0.615384615384615,0.666666666666667
GARCH,69,0.705882352941176,0.545454545454545,1
GARCH,70,0.727272727272727,0.666666666666667,0.8
GARCH,71,1,1,1
GARCH,72,0.6875,0.6875,0.6875
GARCH,73,0.866666666666667,0.866666666666667,0.866666666666667
GARCH,74,0.666666666666667,0.714285714285714,0.625
ARIMA,1,1,1,1
ARIMA,2,0.363636363636364,0.222222222222222,1
ARIMA,3,1,1,1
ARIMA,4,0.909090909090909,0.833333333333333,1
ARIMA,5,1,1,1
ARIMA,6,0.928571428571429,0.928571428571429,0.928571428571429
ARIMA,7,0.956521739130435,0.916666666666667,1
ARIMA,8,0.666666666666667,0.5,1
ARIMA,9,0.842105263157895,0.888888888888889,0.8
ARIMA,10,0.916666666666667,0.916666666666667,0.916666666666667
ARIMA,11,1,1,1
ARIMA,12,1,1,1
