method,serie,F1,precision,recall
GARCH,1,0.636363636363636,0.777777777777778,0.538461538461538
GARCH,2,0.272727272727273,0.166666666666667,0.75
GARCH,3,1,1,1
GARCH,4,0.75,1,0.6
GARCH,5,0.285714285714286,0.5,0.2
GARCH,6,0.642857142857143,0.642857142857143,0.642857142857143
GARCH,7,0.761904761904762,0.8,0.727272727272727
GARCH,8,1,1,1
GARCH,9,0.7,0.7,0.7
GARCH,10,0.571428571428572,0.666666666666667,0.5
GARCH,11,0.307692307692308,0.666666666666667,0.2
GARCH,12,0.615384615384615,1,0.444444444444444
GARCH,13,0.244897959183673,0.157894736842105,0.545454545454545
GARCH,14,0.0769230769230769,0.0416666666666667,0.5
GARCH,15,0.454545454545454,0.714285714285714,0.333333333333333
GARCH,16,0.625,0.5,0.833333333333333
GARCH,17,0.6,0.75,0.5
GARCH,18,0.666666666666667,1,0.5
GARCH,19,0.736842105263158,0.875,0.636363636363636
GARCH,20,0.470588235294118,0.307692307692308,1
GARCH,21,1,1,1
GARCH,22,0.571428571428571,0.8,0.444444444444444
GARCH,23,0.875,0.875,0.875
GARCH,24,0.727272727272727,0.8,0.666666666666667
GARCH,25,0.333333333333333,0.5,0.25
GARCH,26,0.842105263157895,1,0.727272727272727
GARCH,27,0.275862068965517,0.307692307692308,0.25
GARCH,28,1,1,1
GARCH,29,0.888888888888889,0.888888888888889,0.888888888888889
GARCH,30,0.5,0.333333333333333,1
GARCH,31,0.416666666666667,0.416666666666667,0.416666666666667
GARCH,32,0.526315789473684,0.5,0.555555555555556
GARCH,33,0.363636363636364,0.4,0.333333333333333
GARCH,34,0.545454545454545,0.75,0.428571428571429
GARCH,35,0.0625,0.032258064516129,1
GARCH,36,1,1,1
GARCH,37,0.129032258064516,0.0689655172413793,1
GARCH,38,0.4,0.333333333333333,0.5
GARCH,39,0.171428571428571,0.111111111111111,0.375
GARCH,40,NA,0,0
GARCH,41,0.75,0.75,0.75
GARCH,42,0.571428571428572,0.5,0.666666666666667
GARCH,43,0.695652173913043,0.888888888888889,0.571428571428571
GARCH,44,0.4,0.4,0.4
GARCH,45,1,1,1
GARCH,46,0.0588235294117647,0.0303030303030303,1
GARCH,47,0.444444444444444,0.285714285714286,1
GARCH,48,0.666666666666667,1,0.5
GARCH,49,0.625,0.833333333333333,0.5
GARCH,50,0.75,1,0.6
GARCH,51,1,1,1
GARCH,52,0.72,0.75,0.692307692307692
GARCH,53,0.421052631578947,0.5,0.363636363636364
GARCH,54,0.818181818181818,1,0.692307692307692
GARCH,55,0.6,0.857142857142857,0.461538461538462
GARCH,56,0.0540540540540541,0.0294117647058824,0.333333333333333
GARCH,57,0.476190476190476,0.625,0.384615384615385
GARCH,58,0.736842105263158,1,0.583333333333333
GARCH,59,0.571428571428571,0.571428571428571,0.571428571428571
GARCH,60,0.214285714285714,0.12,1
GARCH,61,0.8,1,0.666666666666667
GARCH,62,0.72,1,0.5625
GARCH,63,0.846153846153846,1,0.733333333333333
GARCH,64,0.476190476190476,0.625,0.384615384615385
GARCH,65,1,1,1
GARCH,66,0.0434782608695652,0.0222222222222222,1
GARCH,67,0.833333333333333,0.833333333333333,0.833333333333333
GARCH,68,0.411764705882353,0.318181818181818,0.583333333333333
GARCH,69,0.714285714285714,0.625,0.833333333333333
GARCH,70,0.888888888888889,1,0.8
GARCH,71,1,1,1
GARCH,72,0.785714285714286,0.916666666666667,0.6875
GARCH,73,0.758620689655172,0.785714285714286,0.733333333333333
GARCH,74,0.25,0.375,0.1875
