method,serie,F1,precision,recall
GARCH,1,0.869565217391304,0.833333333333333,0.909090909090909
GARCH,2,0.8,0.8,0.8
GARCH,3,0.5,0.5,0.5
GARCH,4,1,1,1
GARCH,5,0.461538461538462,0.461538461538462,0.461538461538462
GARCH,6,0.888888888888889,0.888888888888889,0.888888888888889
GARCH,7,0.333333333333333,0.333333333333333,0.333333333333333
GARCH,8,1,1,1
GARCH,9,0.518518518518518,0.388888888888889,0.777777777777778
GARCH,10,1,1,1
GARCH,11,0.347826086956522,0.363636363636364,0.333333333333333
GARCH,12,0.8,0.8,0.8
GARCH,13,0.3125,0.3125,0.3125
GARCH,14,0.333333333333333,0.333333333333333,0.333333333333333
GARCH,15,0.75,0.75,0.75
GARCH,16,1,1,1
GARCH,17,0.733333333333333,0.733333333333333,0.733333333333333
GARCH,18,0.875,0.875,0.875
GARCH,19,1,1,1
GARCH,20,0.0909090909090909,0.0909090909090909,0.0909090909090909
GARCH,21,0.111111111111111,0.111111111111111,0.111111111111111
GARCH,22,0.5,0.5,0.5
GARCH,23,0.727272727272727,0.571428571428571,1
GARCH,24,0.333333333333333,0.333333333333333,0.333333333333333
GARCH,25,0.875,0.875,0.875
GARCH,26,0.428571428571429,0.428571428571429,0.428571428571429
GARCH,27,0.714285714285714,0.714285714285714,0.714285714285714
GARCH,28,0.8,0.666666666666667,1
GARCH,29,0.0769230769230769,0.04,1
GARCH,30,1,1,1
GARCH,31,1,1,1
GARCH,32,1,1,1
GARCH,33,1,1,1
GARCH,34,0.96,0.923076923076923,1
GARCH,35,1,1,1
GARCH,36,0.842105263157895,0.888888888888889,0.8
GARCH,37,0.357142857142857,0.357142857142857,0.357142857142857
GARCH,38,0.516129032258065,0.533333333333333,0.5
GARCH,39,0.666666666666667,0.666666666666667,0.666666666666667
GARCH,40,0.375,0.375,0.375
GARCH,41,0.32,0.2,0.8
GARCH,42,0.857142857142857,0.75,1
GARCH,43,0.866666666666667,0.866666666666667,0.866666666666667
GARCH,44,0.888888888888889,0.857142857142857,0.923076923076923
GARCH,45,0.705882352941177,0.666666666666667,0.75
GARCH,46,1,1,1
GARCH,47,0.823529411764706,0.7,1
GARCH,48,0.461538461538462,0.461538461538462,0.461538461538462
GARCH,49,0.833333333333333,0.833333333333333,0.833333333333333
GARCH,50,0.266666666666667,0.266666666666667,0.266666666666667
GARCH,51,0.774193548387097,0.8,0.75
GARCH,52,0.333333333333333,0.333333333333333,0.333333333333333
GARCH,53,0.333333333333333,0.2,1
GARCH,54,1,1,1
GARCH,55,1,1,1
GARCH,56,0.846153846153846,0.733333333333333,1
GARCH,57,1,1,1
GARCH,58,0.0833333333333333,0.0833333333333333,0.0833333333333333
GARCH,59,0.923076923076923,0.923076923076923,0.923076923076923
GARCH,60,0.75,0.75,0.75
GARCH,61,0.8,0.8,0.8
GARCH,62,0.75,0.75,0.75
GARCH,63,0.857142857142857,0.857142857142857,0.857142857142857
GARCH,64,1,1,1
GARCH,65,0.9375,0.9375,0.9375
GARCH,66,0.75,0.75,0.75
GARCH,67,0.875,0.777777777777778,1
GARCH,68,1,1,1
GARCH,69,0.9,0.818181818181818,1
GARCH,70,0.4375,0.4375,0.4375
GARCH,71,0.518518518518518,0.368421052631579,0.875
GARCH,72,0.8125,0.764705882352941,0.866666666666667
GARCH,73,1,1,1
GARCH,74,0.785714285714286,0.785714285714286,0.785714285714286
GARCH,75,1,1,1
GARCH,76,0.125,0.125,0.125
GARCH,77,0.866666666666667,0.866666666666667,0.866666666666667
GARCH,78,1,1,1
GARCH,79,1,1,1
GARCH,80,0.615384615384615,0.615384615384615,0.615384615384615
GARCH,81,0.916666666666667,0.916666666666667,0.916666666666667
GARCH,82,0.434782608695652,0.3125,0.714285714285714
GARCH,83,0.833333333333333,0.833333333333333,0.833333333333333
GARCH,84,0.714285714285714,0.555555555555556,1
GARCH,85,0.875,0.875,0.875
GARCH,86,0.615384615384615,0.615384615384615,0.615384615384615
GARCH,87,0.857142857142857,0.857142857142857,0.857142857142857
GARCH,88,0.64,0.615384615384615,0.666666666666667
GARCH,89,0.48,0.545454545454545,0.428571428571429
GARCH,90,0.421052631578947,0.444444444444444,0.4
GARCH,91,0.1,0.1,0.1
GARCH,92,1,1,1
GARCH,93,0.875,0.875,0.875
GARCH,94,0.933333333333333,0.933333333333333,0.933333333333333
GARCH,95,0.333333333333333,0.333333333333333,0.333333333333333
GARCH,96,0.875,0.875,0.875
GARCH,97,1,1,1
GARCH,98,0.2,0.2,0.2
GARCH,99,0.461538461538462,0.461538461538462,0.461538461538462
GARCH,100,NA,0,0
ARIMA,1,0.846153846153846,0.733333333333333,1
ARIMA,2,0.9,0.9,0.9
ARIMA,3,1,1,1
ARIMA,4,1,1,1
ARIMA,5,1,1,1
ARIMA,6,1,1,1
ARIMA,7,1,1,1
ARIMA,8,1,1,1
ARIMA,9,0.6,0.428571428571429,1
ARIMA,10,1,1,1
ARIMA,11,0.956521739130435,1,0.916666666666667
ARIMA,12,1,1,1
ARIMA,13,1,1,1
ARIMA,14,1,1,1
ARIMA,15,1,1,1
ARIMA,16,1,1,1
ARIMA,17,0.933333333333333,0.933333333333333,0.933333333333333
ARIMA,18,1,1,1
ARIMA,19,1,1,1
ARIMA,20,1,1,1
ARIMA,21,1,1,1
ARIMA,22,1,1,1
ARIMA,23,0.888888888888889,0.8,1
ARIMA,24,1,1,1
ARIMA,25,1,1,1
ARIMA,26,1,1,1
ARIMA,27,0.827586206896552,0.8,0.857142857142857
ARIMA,28,0.842105263157895,0.727272727272727,1
ARIMA,29,0.0645161290322581,0.0333333333333333,1
ARIMA,30,1,1,1
ARIMA,31,1,1,1
ARIMA,32,1,1,1
ARIMA,33,1,1,1
ARIMA,34,1,1,1
ARIMA,35,1,1,1
ARIMA,36,0.842105263157895,0.888888888888889,0.8
