method,serie,F1,precision,recall
GARCH,1,0.956521739130435,0.916666666666667,1
GARCH,2,0.9,0.9,0.9
GARCH,3,1,1,1
GARCH,4,1,1,1
GARCH,5,0.923076923076923,0.923076923076923,0.923076923076923
GARCH,6,1,1,1
GARCH,7,1,1,1
GARCH,8,1,1,1
GARCH,9,0.615384615384615,0.470588235294118,0.888888888888889
GARCH,10,1,1,1
GARCH,11,0.695652173913043,0.727272727272727,0.666666666666667
GARCH,12,0.9,0.9,0.9
GARCH,13,0.875,0.875,0.875
GARCH,14,0.666666666666667,0.666666666666667,0.666666666666667
GARCH,15,0.916666666666667,0.916666666666667,0.916666666666667
GARCH,16,1,1,1
GARCH,17,0.838709677419355,0.8125,0.866666666666667
GARCH,18,1,1,1
GARCH,19,1,1,1
GARCH,20,0.727272727272727,0.727272727272727,0.727272727272727
GARCH,21,1,1,1
GARCH,22,1,1,1
GARCH,23,0.888888888888889,0.8,1
GARCH,24,0.923076923076923,0.857142857142857,1
GARCH,25,1,1,1
GARCH,26,1,1,1
GARCH,27,0.928571428571429,0.928571428571429,0.928571428571429
GARCH,28,1,1,1
GARCH,29,0.0952380952380952,0.05,1
GARCH,30,1,1,1
GARCH,31,1,1,1
GARCH,32,0.9,0.9,0.9
GARCH,33,1,1,1
GARCH,34,1,1,1
GARCH,35,1,1,1
GARCH,36,0.842105263157895,0.888888888888889,0.8
GARCH,37,0.785714285714286,0.785714285714286,0.785714285714286
GARCH,38,0.838709677419355,0.866666666666667,0.8125
GARCH,39,0.733333333333333,0.733333333333333,0.733333333333333
GARCH,40,0.9375,0.9375,0.9375
GARCH,41,0.434782608695652,0.277777777777778,1
GARCH,42,1,1,1
GARCH,43,0.838709677419355,0.8125,0.866666666666667
GARCH,44,0.846153846153846,0.846153846153846,0.846153846153846
GARCH,45,0.875,0.875,0.875
GARCH,46,1,1,1
GARCH,47,0.625,0.555555555555556,0.714285714285714
GARCH,48,0.692307692307692,0.692307692307692,0.692307692307692
GARCH,49,1,1,1
GARCH,50,0.8,0.8,0.8
GARCH,51,0.875,0.875,0.875
GARCH,52,0.916666666666667,0.916666666666667,0.916666666666667
GARCH,53,1,1,1
GARCH,54,1,1,1
GARCH,55,1,1,1
GARCH,56,1,1,1
GARCH,57,1,1,1
GARCH,58,0.333333333333333,0.333333333333333,0.333333333333333
GARCH,59,1,1,1
GARCH,60,1,1,1
GARCH,61,1,1,1
GARCH,62,1,1,1
GARCH,63,1,1,1
GARCH,64,0.666666666666667,0.5,1
GARCH,65,0.875,0.875,0.875
GARCH,66,0.9375,0.9375,0.9375
GARCH,67,0.875,0.777777777777778,1
GARCH,68,1,1,1
GARCH,69,0.947368421052632,0.9,1
GARCH,70,0.8125,0.8125,0.8125
GARCH,71,0.7,0.583333333333333,0.875
GARCH,72,0.96551724137931,1,0.933333333333333
GARCH,73,1,1,1
GARCH,74,0.857142857142857,0.857142857142857,0.857142857142857
GARCH,75,1,1,1
GARCH,76,0.9375,0.9375,0.9375
GARCH,77,0.8,0.8,0.8
GARCH,78,1,1,1
GARCH,79,1,1,1
GARCH,80,0.846153846153846,0.846153846153846,0.846153846153846
GARCH,81,1,1,1
GARCH,82,0.666666666666667,0.545454545454545,0.857142857142857
GARCH,83,1,1,1
GARCH,84,0.588235294117647,0.416666666666667,1
GARCH,85,1,1,1
GARCH,86,1,1,1
GARCH,87,1,1,1
GARCH,88,0.551724137931034,0.470588235294118,0.666666666666667
GARCH,89,0.814814814814815,0.846153846153846,0.785714285714286
GARCH,90,0.8,0.8,0.8
GARCH,91,0.4,0.4,0.4
GARCH,92,1,1,1
GARCH,93,1,1,1
GARCH,94,0.96551724137931,1,0.933333333333333
GARCH,95,1,1,1
GARCH,96,0.875,0.875,0.875
GARCH,97,1,1,1
GARCH,98,0.9,0.9,0.9
GARCH,99,0.846153846153846,0.846153846153846,0.846153846153846
GARCH,100,0.909090909090909,0.909090909090909,0.909090909090909
ARIMA,1,0.956521739130435,0.916666666666667,1
ARIMA,2,0.9,0.9,0.9
ARIMA,3,1,1,1
ARIMA,4,1,1,1
ARIMA,5,1,1,1
ARIMA,6,1,1,1
ARIMA,7,1,1,1
ARIMA,8,1,1,1
ARIMA,9,0.72,0.5625,1
ARIMA,10,1,1,1
ARIMA,11,0.956521739130435,1,0.916666666666667
ARIMA,12,1,1,1
ARIMA,13,1,1,1
ARIMA,14,1,1,1
ARIMA,15,1,1,1
ARIMA,16,1,1,1
ARIMA,17,1,1,1
ARIMA,18,1,1,1
ARIMA,19,1,1,1
ARIMA,20,1,1,1
ARIMA,21,1,1,1
ARIMA,22,0.8,0.666666666666667,1
ARIMA,23,0.888888888888889,0.8,1
ARIMA,24,1,1,1
ARIMA,25,1,1,1
ARIMA,26,1,1,1
ARIMA,27,0.96551724137931,0.933333333333333,1
ARIMA,28,1,1,1
ARIMA,29,0.0909090909090909,0.0476190476190476,1
ARIMA,30,1,1,1
ARIMA,31,1,1,1
ARIMA,32,1,1,1
ARIMA,33,1,1,1
ARIMA,34,1,1,1
ARIMA,35,1,1,1
ARIMA,36,0.842105263157895,0.888888888888889,0.8
ARIMA,37,1,1,1
ARIMA,38,0.9375,0.9375,0.9375
ARIMA,39,0.909090909090909,0.833333333333333,1
ARIMA,40,0.903225806451613,0.933333333333333,0.875
ARIMA,41,0.476190476190476,0.3125,1
ARIMA,42,1,1,1
ARIMA,43,1,1,1
ARIMA,44,0.923076923076923,0.923076923076923,0.923076923076923
ARIMA,45,1,1,1
ARIMA,46,1,1,1
ARIMA,47,0.705882352941176,0.6,0.857142857142857
ARIMA,48,1,1,1
ARIMA,49,1,1,1
ARIMA,50,1,1,1
ARIMA,51,0.9375,0.9375,0.9375
ARIMA,52,1,1,1
ARIMA,53,0.5,0.333333333333333,1
ARIMA,54,1,1,1
ARIMA,55,1,1,1
ARIMA,56,0.88,0.785714285714286,1
ARIMA,57,1,1,1
ARIMA,58,1,1,1
ARIMA,59,1,1,1
ARIMA,60,1,1,1
ARIMA,61,1,1,1
ARIMA,62,1,1,1
ARIMA,63,1,1,1
ARIMA,64,1,1,1
ARIMA,65,0.875,0.875,0.875
ARIMA,66,1,1,1
ARIMA,67,0.933333333333333,0.875,1
ARIMA,68,1,1,1
ARIMA,69,0.947368421052632,0.9,1
ARIMA,70,1,1,1
ARIMA,71,0.842105263157895,0.727272727272727,1
ARIMA,72,0.909090909090909,0.833333333333333,1
ARIMA,73,1,1,1
ARIMA,74,1,1,1
ARIMA,75,1,1,1
ARIMA,76,1,1,1
ARIMA,77,1,1,1
ARIMA,78,1,1,1
ARIMA,79,1,1,1
ARIMA,80,1,1,1
ARIMA,81,1,1,1
ARIMA,82,0.933333333333333,0.875,1
ARIMA,83,1,1,1
ARIMA,84,0.588235294117647,0.416666666666667,1
ARIMA,85,1,1,1
ARIMA,86,1,1,1
ARIMA,87,1,1,1
ARIMA,88,0.8,0.769230769230769,0.833333333333333
ARIMA,89,0.888888888888889,0.923076923076923,0.857142857142857
ARIMA,90,0.9,0.9,0.9
ARIMA,91,1,1,1
ARIMA,92,1,1,1
ARIMA,93,0.941176470588235,0.888888888888889,1
ARIMA,94,1,1,1
ARIMA,95,1,1,1
ARIMA,96,1,1,1
ARIMA,97,1,1,1
ARIMA,98,1,1,1
ARIMA,99,1,1,1
ARIMA,100,1,1,1
FBIAD,1,0.645161290322581,0.5,0.909090909090909
FBIAD,2,0.571428571428571,0.444444444444444,0.8
FBIAD,3,0.666666666666667,0.571428571428571,0.8
FBIAD,4,0.823529411764706,0.7,1
FBIAD,5,0.96,1,0.923076923076923
FBIAD,6,0.533333333333333,0.380952380952381,0.888888888888889
FBIAD,7,0.8,1,0.666666666666667
FBIAD,8,0.205128205128205,0.121212121212121,0.666666666666667
FBIAD,9,0.326530612244898,0.2,0.888888888888889
FBIAD,10,0.5,0.333333333333333,1
FBIAD,11,0.857142857142857,1,0.75
FBIAD,12,0.695652173913043,0.615384615384615,0.8
FBIAD,13,0.967741935483871,1,0.9375
