"method","serie","F1","precision","recall"
"RED_sd",1,0.888888888888889,0.857142857142857,0.923076923076923
"RED_sd",2,0.275862068965517,0.16,1
"RED_sd",3,0.933333333333333,0.875,1
"RED_sd",4,1,1,1
"RED_sd",5,1,1,1
"RED_sd",6,0.928571428571429,0.928571428571429,0.928571428571429
"RED_sd",7,0.956521739130435,0.916666666666667,1
"RED_sd",8,0.5,0.333333333333333,1
"RED_sd",9,0.9,0.9,0.9
"RED_sd",10,0.916666666666667,0.916666666666667,0.916666666666667
"RED_sd",11,1,1,1
"RED_sd",12,1,1,1
"RED_sd",13,0.72,0.642857142857143,0.818181818181818
"RED_sd",14,0.666666666666667,0.5,1
"RED_sd",15,0.838709677419355,0.8125,0.866666666666667
"RED_sd",16,0.645161290322581,0.526315789473684,0.833333333333333
"RED_sd",17,1,1,1
"RED_sd",18,1,1,1
"RED_sd",19,0.814814814814815,0.6875,1
"RED_sd",20,0.307692307692308,0.181818181818182,1
"RED_sd",21,0.857142857142857,0.75,1
"RED_sd",22,0.842105263157895,0.8,0.888888888888889
"RED_sd",23,0.9375,0.9375,0.9375
"RED_sd",24,1,1,1
"RED_sd",25,1,1,1
"RED_sd",26,1,1,1
"RED_sd",27,0.9375,0.9375,0.9375
"RED_sd",28,1,1,1
"RED_sd",29,0.782608695652174,0.642857142857143,1
"RED_sd",30,0.2,0.111111111111111,1
"RED_sd",31,1,1,1
"RED_sd",32,0.947368421052632,0.9,1
"RED_sd",33,1,1,1
"RED_sd",34,1,1,1
"RED_sd",35,0.117647058823529,0.0625,1
"RED_sd",36,0.4,0.25,1
"RED_sd",37,0.153846153846154,0.0833333333333333,1
"RED_sd",38,0.628571428571429,0.578947368421053,0.6875
"RED_sd",39,0.521739130434783,0.4,0.75
"RED_sd",40,0.2,0.111111111111111,1
"RED_sd",41,0.75,0.75,0.75
"RED_sd",42,0.666666666666667,0.5,1
"RED_sd",43,0.8125,0.722222222222222,0.928571428571429
"RED_sd",44,1,1,1
"RED_sd",45,1,1,1
"RED_sd",46,0.2,0.111111111111111,1
"RED_sd",47,0.307692307692308,0.181818181818182,1
"RED_sd",48,1,1,1
"RED_sd",49,0.909090909090909,0.833333333333333,1
"RED_sd",50,1,1,1
"RED_sd",51,0.8,0.666666666666667,1
"RED_sd",52,0.740740740740741,0.714285714285714,0.769230769230769
"RED_sd",53,0.88,0.785714285714286,1
"RED_sd",54,0.8,0.705882352941177,0.923076923076923
"RED_sd",55,1,1,1
"RED_sd",56,0.222222222222222,0.133333333333333,0.666666666666667
"RED_sd",57,0.96,1,0.923076923076923
"RED_sd",58,0.888888888888889,0.8,1
"RED_sd",59,1,1,1
"RED_sd",60,0.857142857142857,0.75,1
"RED_sd",61,0.857142857142857,0.75,1
"RED_sd",62,0.787878787878788,0.764705882352941,0.8125
"RED_sd",63,0.933333333333333,0.933333333333333,0.933333333333333
"RED_sd",64,1,1,1
"RED_sd",65,0.947368421052632,0.9,1
"RED_sd",66,0.0625,0.032258064516129,1
"RED_sd",67,1,1,1
"RED_sd",68,0.64,0.615384615384615,0.666666666666667
"RED_sd",69,0.631578947368421,0.461538461538462,1
"RED_sd",70,0.909090909090909,0.833333333333333,1
"RED_sd",71,0.8,0.666666666666667,1
"RED_sd",72,0.8125,0.8125,0.8125
"RED_sd",73,0.903225806451613,0.875,0.933333333333333
"RED_sd",74,0.733333333333333,0.785714285714286,0.6875
"RED_var",1,0.454545454545455,0.555555555555556,0.384615384615385
"RED_var",2,0.0487804878048781,0.027027027027027,0.25
"RED_var",3,0.875,0.777777777777778,1
"RED_var",4,0.4,0.4,0.4
"RED_var",5,0.545454545454545,0.5,0.6
"RED_var",6,0.533333333333333,0.5,0.571428571428571
"RED_var",7,NA,0,0
"RED_var",8,0.111111111111111,0.0588235294117647,1
"RED_var",9,0.842105263157895,0.888888888888889,0.8
"RED_var",10,0.526315789473684,0.714285714285714,0.416666666666667
"RED_var",11,0.823529411764706,1,0.7
"RED_var",12,0.588235294117647,0.625,0.555555555555556
"RED_var",13,0.32,0.285714285714286,0.363636363636364
"RED_var",14,0.142857142857143,0.0833333333333333,0.5
"RED_var",15,0.476190476190476,0.833333333333333,0.333333333333333
"RED_var",16,0.228571428571429,0.173913043478261,0.333333333333333
"RED_var",17,0.363636363636364,0.4,0.333333333333333
"RED_var",18,0.266666666666667,0.181818181818182,0.5
"RED_var",19,0.25,0.19047619047619,0.363636363636364
"RED_var",20,0.0769230769230769,0.0454545454545455,0.25
"RED_var",21,NA,0,0
"RED_var",22,0.25,0.2,0.333333333333333
"RED_var",23,0.8,0.736842105263158,0.875
"RED_var",24,NA,0,0
"RED_var",25,0.5,0.5,0.5
"RED_var",26,0.4,0.75,0.272727272727273
"RED_var",27,0.210526315789474,0.666666666666667,0.125
"RED_var",28,0.216216216216216,0.133333333333333,0.571428571428571
"RED_var",29,0.457142857142857,0.307692307692308,0.888888888888889
"RED_var",30,NA,0,0
"RED_var",31,0.466666666666667,0.388888888888889,0.583333333333333
"RED_var",32,0.6,0.545454545454545,0.666666666666667
"RED_var",33,0.114285714285714,0.0689655172413793,0.333333333333333
"RED_var",34,0.117647058823529,0.0740740740740741,0.285714285714286
"RED_var",35,0.0689655172413793,0.0357142857142857,1
"RED_var",36,0.235294117647059,0.133333333333333,1
"RED_var",37,0.0555555555555556,0.0294117647058824,0.5
"RED_var",38,0.146341463414634,0.12,0.1875
"RED_var",39,0.157894736842105,0.1,0.375
"RED_var",40,0.117647058823529,0.0625,1
"RED_var",41,0.387096774193548,0.260869565217391,0.75
"RED_var",42,0.222222222222222,0.125,1
"RED_var",43,0.277777777777778,0.227272727272727,0.357142857142857
"RED_var",44,0.888888888888889,1,0.8
"RED_var",45,0.928571428571429,1,0.866666666666667
"RED_var",46,0.133333333333333,0.0714285714285714,1
"RED_var",47,0.0625,0.0333333333333333,0.5
"RED_var",48,0.37037037037037,0.384615384615385,0.357142857142857
"RED_var",49,0.25,0.181818181818182,0.4
"RED_var",50,0.235294117647059,0.166666666666667,0.4
"RED_var",51,0.137931034482759,0.0740740740740741,1
"RED_var",52,0.166666666666667,0.181818181818182,0.153846153846154
"RED_var",53,0.363636363636364,0.272727272727273,0.545454545454545
"RED_var",54,0.1875,0.157894736842105,0.230769230769231
"RED_var",55,0.32258064516129,0.277777777777778,0.384615384615385
"RED_var",56,0.0645161290322581,0.0357142857142857,0.333333333333333
"RED_var",57,0.444444444444444,0.8,0.307692307692308
"RED_var",58,0.434782608695652,0.454545454545455,0.416666666666667
"RED_var",59,0.888888888888889,0.923076923076923,0.857142857142857
"RED_var",60,0.75,0.6,1
"RED_var",61,0.0909090909090909,0.0526315789473684,0.333333333333333
"RED_var",62,0.3125,0.3125,0.3125
"RED_var",63,0.5,0.470588235294118,0.533333333333333
"RED_var",64,0.470588235294118,0.380952380952381,0.615384615384615
"RED_var",65,0.454545454545455,0.384615384615385,0.555555555555556
"RED_var",66,NA,0,0
"RED_var",67,0.551724137931034,0.470588235294118,0.666666666666667
"RED_var",68,0.56,0.538461538461538,0.583333333333333
"RED_var",69,0.333333333333333,0.208333333333333,0.833333333333333
"RED_var",70,0.4,0.3,0.6
"RED_var",71,0.0909090909090909,0.05,0.5
"RED_var",72,0.272727272727273,0.214285714285714,0.375
"RED_var",73,0.75,0.705882352941177,0.8
"RED_var",74,0.27027027027027,0.238095238095238,0.3125
"RED_ewma",1,NA,0,0
"RED_ewma",2,0.380952380952381,0.235294117647059,1
"RED_ewma",3,NA,0,0
"RED_ewma",4,0.5,0.666666666666667,0.4
"RED_ewma",5,0.181818181818182,0.166666666666667,0.2
"RED_ewma",6,NA,0,0
"RED_ewma",7,NA,0,0
