"","...1","method","dataset","series","time_fit","time_detect","time_detect_RT","time_RT","precision","recall","f1","precision_soft","recall_soft","f1_soft","precision_RT","recall_RT","f1_RT","precision_RT_soft","recall_RT_soft","f1_RT_soft"
"1",1,"fbiad","A3Benchmark","TS1",7.70092010498047e-05,0.0135400295257568,0.00862932205200195,4.34879565238953,0.5,0.909090909090909,0.645161290322581,0.54,0.981818181818182,0.696774193548387,0.409090909090909,0.818181818181818,0.545454545454546,0.481818181818182,0.963636363636364,0.642424242424242
"2",2,"fbiad","A3Benchmark","TS10",1.40666961669922e-05,0.00874662399291992,0.00856494903564453,2.87448453903198,0.444444444444444,0.8,0.571428571428571,0.444444444444444,0.8,0.571428571428571,0.529411764705882,0.9,0.666666666666667,0.576470588235294,0.98,0.725925925925926
"3",3,"fbiad","A3Benchmark","TS100",1.64508819580078e-05,0.00878310203552246,0.00867342948913574,2.14533066749573,0.571428571428571,0.8,0.666666666666667,0.571428571428571,0.8,0.666666666666667,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"4",4,"fbiad","A3Benchmark","TS11",1.57356262207031e-05,0.0168478488922119,0.00941157341003418,2.84698081016541,0.7,1,0.823529411764706,0.7,1,0.823529411764706,0.466666666666667,1,0.636363636363636,0.466666666666667,1,0.636363636363636
"5",5,"fbiad","A3Benchmark","TS12",1.50203704833984e-05,0.0100820064544678,0.00874495506286621,1.26329350471497,1,0.923076923076923,0.96,1,0.923076923076923,0.96,0.48,0.923076923076923,0.631578947368421,0.512,0.984615384615385,0.673684210526316
"6",6,"fbiad","A3Benchmark","TS13",2.26497650146484e-05,0.00977945327758789,0.00872969627380371,2.72172713279724,0.380952380952381,0.888888888888889,0.533333333333333,0.380952380952381,0.888888888888889,0.533333333333333,0.470588235294118,0.888888888888889,0.615384615384615,0.517647058823529,0.977777777777778,0.676923076923077
"7",7,"fbiad","A3Benchmark","TS14",1.57356262207031e-05,0.0159351825714111,0.0161924362182617,2.84908556938171,1,0.666666666666667,0.8,1,0.666666666666667,0.8,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"8",8,"fbiad","A3Benchmark","TS15",1.83582305908203e-05,0.0103435516357422,0.00891208648681641,7.9581286907196,0.121212121212121,0.666666666666667,0.205128205128205,0.121212121212121,0.666666666666667,0.205128205128205,0.4,1,0.571428571428572,0.4,1,0.571428571428572
"9",9,"fbiad","A3Benchmark","TS16",1.93119049072266e-05,0.0101184844970703,0.00857281684875488,2.08653545379639,0.2,0.888888888888889,0.326530612244898,0.2,0.888888888888889,0.326530612244898,0.230769230769231,0.666666666666667,0.342857142857143,0.323076923076923,0.933333333333333,0.48
"10",10,"fbiad","A3Benchmark","TS17",1.66893005371094e-05,0.0167603492736816,0.00910019874572754,1.60970902442932,0.333333333333333,1,0.5,0.333333333333333,1,0.5,0.333333333333333,1,0.5,0.333333333333333,1,0.5
"11",11,"fbiad","A3Benchmark","TS18",1.71661376953125e-05,0.0180165767669678,0.0158603191375732,4.49479246139526,1,0.75,0.857142857142857,1,0.75,0.857142857142857,0.476190476190476,0.833333333333333,0.606060606060606,0.552380952380952,0.966666666666667,0.703030303030303
"12",12,"fbiad","A3Benchmark","TS19",2.45571136474609e-05,0.00921988487243652,0.00913476943969727,3.1137318611145,0.615384615384615,0.8,0.695652173913043,0.615384615384615,0.8,0.695652173913043,0.5,1,0.666666666666667,0.5,1,0.666666666666667
