"method";"serie";"F1";"precision";"recall"
boxplot;1;0.192;0.107142857142857;0.923076923076923
boxplot;2;0.0483870967741936;0.025;0.75
boxplot;3;0.166666666666667;0.0909090909090909;1
boxplot;4;0.138888888888889;0.0746268656716418;1
boxplot;5;0.138888888888889;0.0746268656716418;1
boxplot;6;0.301075268817204;0.177215189873418;1
boxplot;7;0.201834862385321;0.112244897959184;1
boxplot;8;0.0571428571428571;0.0294117647058824;1
boxplot;9;0.230769230769231;0.132352941176471;0.9
boxplot;10;0.285714285714286;0.166666666666667;1
boxplot;11;0.416666666666667;0.263157894736842;1
boxplot;12;0.219512195121951;0.123287671232877;1
boxplot;13;0.172413793103448;0.0952380952380952;0.909090909090909
boxplot;14;0.0454545454545454;0.0232558139534884;1
boxplot;15;0.285714285714286;0.168674698795181;0.933333333333333
boxplot;16;0.208695652173913;0.116504854368932;1
boxplot;17;0.142857142857143;0.078125;0.833333333333333
boxplot;18;0.129032258064516;0.0689655172413793;1
boxplot;19;0.205607476635514;0.114583333333333;1
boxplot;20;0.0666666666666667;0.0344827586206897;1
boxplot;21;0.0540540540540541;0.028169014084507;0.666666666666667
boxplot;22;0.113821138211382;0.0614035087719298;0.777777777777778
boxplot;23;0.307692307692308;0.181818181818182;1
boxplot;24;0.131868131868132;0.0705882352941176;1
boxplot;25;0.222222222222222;0.125;1
boxplot;26;0.372881355932203;0.229166666666667;1
boxplot;27;0.280373831775701;0.164835164835165;0.9375
boxplot;28;0.117647058823529;0.0631578947368421;0.857142857142857
boxplot;29;0.128571428571429;0.0687022900763359;1
boxplot;30;0.0277777777777778;0.0140845070422535;1
boxplot;31;0.210526315789474;0.117647058823529;1
boxplot;32;0.181818181818182;0.1;1
boxplot;33;0.24;0.136363636363636;1
boxplot;34;0.125;0.0666666666666667;1
boxplot;35;0.0210526315789474;0.0106382978723404;1
boxplot;36;0.0526315789473684;0.027027027027027;1
boxplot;37;0.0336134453781513;0.0170940170940171;1
boxplot;38;0.21875;0.125;0.875
boxplot;39;0.124031007751938;0.0661157024793388;1
boxplot;40;0.0327868852459016;0.0166666666666667;1
boxplot;41;0.161616161616162;0.0879120879120879;1
boxplot;42;0.0810810810810811;0.0422535211267606;1
boxplot;43;0.245614035087719;0.14;1
boxplot;44;0.144927536231884;0.078125;1
boxplot;45;0.309278350515464;0.182926829268293;1
boxplot;46;0.0307692307692308;0.015625;1
boxplot;47;0.036036036036036;0.018348623853211;1
boxplot;48;0.271844660194175;0.157303370786517;1
boxplot;49;0.192307692307692;0.106382978723404;1
boxplot;50;0.0909090909090909;0.0481927710843374;0.8
boxplot;51;0.0597014925373134;0.0307692307692308;1
boxplot;52;0.203389830508475;0.114285714285714;0.923076923076923
boxplot;53;0.181818181818182;0.1;1
boxplot;54;0.17910447761194;0.0991735537190083;0.923076923076923
boxplot;55;0.18978102189781;0.104838709677419;1
boxplot;56;0.0618556701030928;0.0319148936170213;1
boxplot;57;0.413793103448276;0.266666666666667;0.923076923076923
boxplot;58;0.214285714285714;0.12;1
boxplot;59;0.311111111111111;0.184210526315789;1
boxplot;60;0.0789473684210526;0.0410958904109589;1
boxplot;61;0.133333333333333;0.0714285714285714;1
boxplot;62;0.227272727272727;0.129310344827586;0.9375
boxplot;63;0.245901639344262;0.14018691588785;1
boxplot;64;0.262626262626263;0.151162790697674;1
boxplot;65;0.173076923076923;0.0947368421052632;1
boxplot;66;0.015625;0.0078740157480315;1
boxplot;67;0.285714285714286;0.166666666666667;1
boxplot;68;0.180327868852459;0.1;0.916666666666667
boxplot;69;0.1;0.0526315789473684;1
boxplot;70;0.133333333333333;0.0714285714285714;1
boxplot;71;0.0506329113924051;0.025974025974026;1
boxplot;72;0.237037037037037;0.134453781512605;1
boxplot;73;0.234234234234234;0.135416666666667;0.866666666666667
boxplot;74;0.195488721804511;0.111111111111111;0.8125
gaussiano;1;0.888888888888889;0.857142857142857;0.923076923076923
gaussiano;2;0.275862068965517;0.16;1
gaussiano;3;0.933333333333333;0.875;1
gaussiano;4;1;1;1
gaussiano;5;1;1;1
gaussiano;6;0.928571428571429;0.928571428571429;0.928571428571429
